ID,Ticker,Last Close,EMA100,EMA50,RSI,Decision
1,GOOGL,151.16,171.0,165.35,41.77,виден нисходящий тренд
2,GOOGL,151.16,171.0,165.35,41.77,виден нисходящий тренд
3,AAPL,196.98,223.0,216.17,43.78,виден нисходящий тренд
4,AAPL,196.98,223.0,216.17,43.78,виден нисходящий тренд
5,GOOGL,151.16,171.0,165.35,41.77,виден нисходящий тренд
6,AAPL,193.16,222.41,215.26,41.55,виден нисходящий тренд
7,GOOGL,147.67,170.54,164.66,38.42,виден нисходящий тренд
8,GOOGL,147.67,170.54,164.66,38.42,виден нисходящий тренд
9,GOOGL,147.67,170.54,164.66,38.42,виден нисходящий тренд
10,GOOGL,147.67,170.54,164.66,38.42,виден нисходящий тренд
11,AAPL,193.16,222.41,215.26,41.55,виден нисходящий тренд
12,GOOGL,147.67,170.54,164.66,38.42,виден нисходящий тренд
13,AAPL,193.16,222.41,215.26,41.55,виден нисходящий тренд
14,GOOGL,147.67,170.54,164.66,38.42,виден нисходящий тренд
15,TSLA,227.5,297.6,278.88,39.16,виден нисходящий тренд
16,GOOGL,147.67,170.54,164.66,38.42,виден нисходящий тренд
17,AAPL,193.16,222.41,215.26,41.55,виден нисходящий тренд
18,GOOGL,151.47,170.16,164.14,43.78,виден нисходящий тренд
19,AAPL,199.74,221.96,214.65,46.66,виден нисходящий тренд
20,GOOGL,151.47,170.16,164.14,43.78,виден нисходящий тренд
21,AAPL,199.74,221.96,214.65,46.66,виден нисходящий тренд
22,GOOGL,151.47,170.16,164.14,43.78,виден нисходящий тренд
23,AAPL,199.74,221.96,214.65,46.66,виден нисходящий тренд
24,TSLA,237.97,296.42,277.28,43.81,виден нисходящий тренд
25,TSLA,237.97,296.42,277.28,43.81,виден нисходящий тренд
26,GOOGL,151.47,170.16,164.14,43.78,виден нисходящий тренд
